portName,month,year,category,dwellTime
NMPT,JULY,2021,Import,103.8
SOUTHERN REGION AVG.,JULY,2021,Export,80.4
SOUTHERN REGION AVG.,JULY,2021,Import,34.0
TUTICORIN,JULY,2021,Export,65.0
TUTICORIN,JULY,2021,Import,17.9
VIZAG,JULY,2021,Export,108.0
VIZAG,JULY,2021,Import,77.6
WESTERN REGION AVG.,JULY,2021,Export,96.7
WESTERN REGION AVG.,JULY,2021,Import,19.8
APSEZ,AUGUST,2021,Export,121.5
APSEZ,AUGUST,2021,Import,20.0
CHENNAI,AUGUST,2021,Export,115.6
CHENNAI,AUGUST,2021,Import,36.3
